uid,lot_title,lot_url,full_cost,avg_resell_price,net_profit,percentage_profit
290,"Revolution Race Unisex Alpine Ascent Gloves, Black, Size 8",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-388e45c8-7e75-475a-b97b-af620161a66c,22.2,24.55,-10.057999999999998,-45.3063063063063
245,"Four InterDesign Linus Fridge N Pantry Binz 8x8x6, Clear",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-3b7c25dc-9d57-49de-8a58-af6201617249,22.2,15.22,-19.387999999999998,-87.33333333333333
87,"Canon Transfer Roller Inner, FL0-4164-000",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-de11b75e-31d8-4af8-aa1c-af620160bcb1,22.2,21.84,-12.767999999999999,-57.513513513513516
279,"Bradbury & Oak Womens NE-Danbury Handbag, Brown",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-0d073e0b-379c-4fcd-887a-af62016198e8,22.2,63.76,29.152,131.31531531531533
48,Three Jonkuu Portable Power Bank Chargers 10000mAh,https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-03c8c9cf-7831-4b3a-9b72-af6201609077,22.2,15.01,-19.598,-88.27927927927928
33,Four Jonkuu Portable Power Bank Chargers 10000mAh,https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-eae21155-5b35-4765-8487-af6201607f9f,22.2,15.1,-19.508,-87.87387387387388
276,"Two Freed of London Childrens Freya Skirted Leotards, Pink",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-2f28cab3-9cc8-48b0-b61f-af6201619593,22.2,14.5,-20.107999999999997,-90.57657657657656
271,Mon Petit Morphée Sleep Aid and Return to Calm,https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-5180a222-d3a8-49e3-9653-af6201618fc0,22.2,16.56,-18.048000000000002,-81.2972972972973
42,"Lenovo 01YU995 CABLE FPC Cable, WWAN Sensor",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-8d52d5ec-93cf-4c84-bf97-af6201608986,22.2,16.85,-17.757999999999996,-79.99099099099098
273,"Safety 1st Rainbow Stroller, Baleine Blue",https://www.i-bidder.com/en-gb/auction-catalogues/vfauctions/catalogue-id-vf-auc10234/lot-b7cfa70e-b269-4419-a15b-af620161921d,22.2,106.92,72.312,325.72972972972974
